Model,Accuracy,Star_MAE,Close_Accuracy,Training_Time_s
metadata_lr,0.5900,0.7900,0.7800,0.01
combined_knn,0.5900,0.8000,0.7800,0.00
extra_trees,0.5900,0.7500,0.8100,0.31
ada_boost,0.5800,0.8000,0.7900,0.50
combined_svm,0.5700,0.8200,0.7800,0.18
voting_ensemble,0.5700,0.7300,0.8300,3.01
late_fusion_voting,0.5700,0.7700,0.8100,0.52
late_fusion_stacking,0.5700,0.8100,0.7900,8.92
stacking_ensemble,0.5700,0.8100,0.7900,10.40
metadata_rf,0.5600,0.8100,0.7800,0.13
MainModel (Optimized),0.5600,0.7500,0.8200,1.72
text_rf,0.5500,0.8000,0.8000,0.31
combined_rf,0.5500,0.8100,0.8000,0.28
combined_gb,0.5400,0.8300,0.8000,5.63
xgboost,0.5400,0.7900,0.8000,1.51
wide_and_deep,0.5400,0.7600,0.8300,0.48
wide_neural_net,0.5400,0.8300,0.7900,1.44
text_mlp,0.5300,0.7700,0.8200,0.25
combined_mlp,0.5300,0.7400,0.8300,0.43
tensor_fusion,0.5300,0.8500,0.7900,0.50
metadata_gb,0.5200,0.7500,0.8300,0.74
attention_fusion,0.5200,0.7900,0.8200,0.44
text_lr,0.5000,0.7900,0.8400,0.04
combined_lr,0.5000,0.7900,0.8400,0.04
multiplicative_fusion,0.5000,0.7800,0.8200,0.39
regularized_neural_net,0.5000,0.9500,0.7600,0.14
combined_nb,0.4900,0.8300,0.8300,0.00
deep_neural_net,0.4900,0.8700,0.8000,0.35
combined_dt,0.4800,0.9300,0.7500,0.03
